"Nr";"Restaurant";"Kategorier";"Wolt URL";"Address";"Phone Number";"Contact Source";"Note"
"30";"Buonasera Pizzeria";"pizza";"https://wolt.com/en/dnk/lyngby-gentofte/restaurant/buonasera-pizzeria";"Holte Stationsvej 14, 2840 Holte";"+45 45 42 22 90";"Google Places";""
"31";"Sara's Pizzeria og Burgerhouse";"pizza";"https://wolt.com/en/dnk/lyngby-gentofte/restaurant/sara-pizzeria-og-burgerhouse";"Lundtofteparken 67, 2800 Lundtofte";"+45 45 88 68 11";"Google Places";""
"32";"Byens café";"pizza, cafe";"https://wolt.com/en/dnk/lyngby-gentofte/restaurant/byens-caf-lundtofte";"Lundtoftevej 53B, 2800 Kongens Lyngby";"+45 60 71 91 26";"Google Places";""
"33";"AMAGER BY NIGHT 2300";"pizza, kebab";"https://wolt.com/en/dnk/copenhagen/restaurant/amager-by-night";"Gullandsgade 16, 2300 København";"+45 32 97 11 34";"Google Places";""
"34";"Bella Rosa Bagsværd";"pizza, kebab";"https://wolt.com/en/dnk/lyngby-gentofte/restaurant/bella-rosa-bagsvrd";"Bagsværd Hovedgade 156, 2880 Bagsværd";"+45 44 44 00 82";"Google Places";""
"35";"Ella Lyngby";"pizza, sandwich";"https://wolt.com/en/dnk/lyngby-gentofte/restaurant/ella";"Gammel Lundtoftevej 14, 2800 Kongens Lyngby";"+45 53 54 52 66";"Google Places";""
"36";"Ella Pizza Langhaven";"pizza";"https://wolt.com/en/dnk/hoersholm-rungsted/restaurant/ella-pizza-naerum";"Virtual venue – no separate listing";"Not publicly listed";"Wolt listing only – not verified";""
"37";"Ella Pizza Lynge";"pizza";"https://wolt.com/en/dnk/birkeroed-farum/restaurant/ella-pizza-lynge";"Virtual venue – no separate listing";"Not publicly listed";"Wolt listing only – not verified";""
"38";"Ella Pizza Allerød";"pizza";"https://wolt.com/en/dnk/alleroed/restaurant/ella-pizza-allerd";"Virtual venue – no separate listing";"Not publicly listed";"Wolt listing only – not verified";""
"39";"Ella Pizza Farum";"pizza";"https://wolt.com/en/dnk/birkeroed-farum/restaurant/ella-pizza-farum";"Virtual venue – no separate listing";"Not publicly listed";"Wolt listing only – not verified";""
"40";"Ella Pizza Isterød";"pizza";"https://wolt.com/en/dnk/hoersholm-rungsted/restaurant/ella-pizza-isterd";"Virtual venue – no separate listing";"Not publicly listed";"Wolt listing only – not verified";""
"41";"Ella Pizza Usserød Kongevej";"pizza";"https://wolt.com/en/dnk/hoersholm-rungsted/restaurant/ella-pizza-hoersholm";"Usserød Kongevej 6, 2970 Hørsholm";"+45 45 76 52 74";"Google Places";"pizza counter inside a Q8 petrol station - no dine-in"
"42";"Piccante Gastronomia";"pizza, american";"https://wolt.com/en/dnk/hoersholm-rungsted/restaurant/piccante-gastronomia";"Usserød Kongevej 46A, 2970 Hørsholm";"+45 24 24 90 77";"Google Places";""
"43";"Ella Pizza Hummeltoftevej";"pizza";"https://wolt.com/en/dnk/lyngby-gentofte/restaurant/ella-pizza-hummeltoftevej";"Virtual venue – no separate listing";"Not publicly listed";"Wolt listing only – not verified";""
"44";"Ella Pizza Ballerupvej";"pizza";"https://wolt.com/en/dnk/birkeroed-farum/restaurant/ella-pizza-vaerloese";"Virtual venue – no separate listing";"Not publicly listed";"Wolt listing only – not verified";""
"45";"Sten & Kul Værløse";"pizza";"https://wolt.com/en/dnk/birkeroed-farum/restaurant/sten-kul-vrlse";"Bymidten 28, 3500 Værløse";"+45 44 44 00 46";"Google Places";""
"46";"Ella Pizza Bagsværdvej";"pizza";"https://wolt.com/en/dnk/lyngby-gentofte/restaurant/ella-pizza-lynggen";"Virtual venue – no separate listing";"Not publicly listed";"Wolt listing only – not verified";""
"47";"Ella Pizza Skodsborgvej";"pizza";"https://wolt.com/en/dnk/hoersholm-rungsted/restaurant/ella-pizza-skodsborgvej";"Virtual venue – no separate listing";"Not publicly listed";"Wolt listing only – not verified";""
"48";"Ella Pizza Vadstrupvej";"pizza";"https://wolt.com/en/dnk/lyngby-gentofte/restaurant/ella-pizza-vadstrupvej";"Virtual venue – no separate listing";"Not publicly listed";"Wolt listing only – not verified";""
"49";"PIZZA NIGHT COPENHAGEN";"pizza, kebab";"https://wolt.com/en/dnk/copenhagen/restaurant/pizza-copenhagen";"Jyllingevej 58, 2720 København";"+45 38 74 92 92";"Google Places";"name differs from Wolt listing"
"50";"Sushi Fest";"sushi";"https://wolt.com/en/dnk/lyngby-gentofte/restaurant/sushi-fest";"Geels Pl. 2A, 2830 Virum";"+45 61 66 88 99";"Google Places";""
"51";"Echo Sushi";"sushi, chinese";"https://wolt.com/en/dnk/birkeroed-farum/restaurant/echo-sushi";"Hovedgaden 27, 3460 Birkerød";"+45 26 81 78 78";"Google Places";""
"52";"You Sushi - Birkerød";"sushi";"https://wolt.com/en/dnk/birkeroed-farum/restaurant/you-sushi-birkerd";"Hovedgaden 32, 3460 Birkerød";"+45 32 21 58 88";"Google Places";""
"53";"Yoshimi Sushi - Holte";"sushi";"https://wolt.com/en/dnk/lyngby-gentofte/restaurant/yoshimi-sushi-holte";"Holte Midtpunkt 23, 2840 Holte";"+45 93 20 58 88";"Google Places";""
"54";"Sushi & Wok, Birkerød kro";"sushi";"https://wolt.com/en/dnk/birkeroed-farum/restaurant/restaurant-sen-xing-birkerd-kro";"Hovedgaden 40C, 3460 Birkerød";"+45 42 34 19 88";"Google Places";""
"55";"Cafe Lilly Holte";"sushi, cafe";"https://wolt.com/en/dnk/lyngby-gentofte/restaurant/cafe-lilly-holte";"Holte Midtpunkt 23, 2840 Holte";"+45 60 88 33 36";"Google Places";""
"56";"Youmi Sushi Kokkedal";"sushi";"https://wolt.com/en/dnk/hoersholm-rungsted/restaurant/youmi-sushi3";"Egevangen 6, 2980 Kokkedal";"+45 50 22 78 88";"Google Places";""
"57";"Bomb Sushi";"sushi";"https://wolt.com/en/dnk/birkeroed-farum/restaurant/bomb-sushi";"Hovedgaden 47A, 3460 Birkerød";"+45 42 22 16 23";"Google Places";""
"58";"Ming-Zhu Kinesisk & Sushi";"sushi, chinese";"https://wolt.com/en/dnk/birkeroed-farum/restaurant/ming-zhu-kinesisk-sushi";"Stiholmsvej 3, 3460 Birkerød";"+45 45 81 85 58";"Google Places";""
"59";"C-Weed Restaurant Farum";"sushi, asian";"https://wolt.com/en/dnk/birkeroed-farum/restaurant/c-weed";"Farum Bytorv 16, 3520 Farum";"+45 97 87 88 88";"Google Places";""
"60";"Yumi Sushi";"sushi";"https://wolt.com/en/dnk/alleroed/restaurant/yumi-sushi";"M D Madsensvej 5, 3450 Lillerød";"+45 72 18 65 65";"Google Places";""
"61";"Raw 'N' Rice";"sushi";"https://wolt.com/en/dnk/birkeroed-farum/restaurant/raw-n-rice";"Farum Hovedgade 13, 3520 Farum";"+45 51 16 08 26";"Google Places";""
"62";"Sticks'n'Sushi Rungsted Havn";"sushi";"https://wolt.com/en/dnk/hoersholm-rungsted/restaurant/sticksnsushi-rungsted-havn";"Rungsted Havn 32, 2960 Rungsted Kyst";"+45 33 22 62 42";"Google Places";""
"63";"Yoyo Sushi";"sushi, asian";"https://wolt.com/en/dnk/birkeroed-farum/restaurant/yoyo-sushii";"Vasevej 125, 3460 Birkerød";"+45 50 32 00 88";"Google Places";""
"64";"Naruto Sushi & Ramen";"sushi";"https://wolt.com/en/dnk/lyngby-gentofte/restaurant/natuto-ramen";"Lyngby Hovedgade 50A, 2800 Kongens Lyngby";"+45 91 83 99 99";"Google Places";""
"65";"Foo Sushi";"sushi";"https://wolt.com/en/dnk/lyngby-gentofte/restaurant/foo-sushi";"Lundtofteparken 65, 2800 Lundtofte";"+45 53 51 78 88";"Google Places";""
"66";"Sushi Amor";"sushi";"https://wolt.com/en/dnk/hoersholm-rungsted/restaurant/sushi-amor";"Kongevejs-Centret 2, 2970 Hørsholm";"+45 45 86 45 84";"Google Places";""
"67";"Hana Food Gallery";"sushi";"https://wolt.com/en/dnk/birkeroed-farum/restaurant/hana-food-gallery";"Farum Hovedgade 79, 3520 Farum";"+45 44 95 70 02";"Google Places";""
"68";"Kawa Sushi";"sushi";"https://wolt.com/en/dnk/lyngby-gentofte/restaurant/kumo-sushi-virum";"Kongevejen 196, 2830 Brede";"+45 91 97 88 99";"Google Places";""
"69";"Kõyo Sushi & Wok";"sushi, asian, chinese";"https://wolt.com/en/dnk/alleroed/restaurant/koyo-sushi";"Mølcks Passage 5, 3450 Lillerød";"+45 53 55 50 88";"Google Places";""
"70";"Sushi San Lyngby";"sushi";"https://wolt.com/en/dnk/lyngby-gentofte/restaurant/sushi-san-lyngby";"Jernbanevej 1, 2800 Kongens Lyngby";"+45 53 88 81 86";"Google Places";""
"71";"Savory House";"sushi, chicken";"https://wolt.com/en/dnk/lyngby-gentofte/restaurant/savory-house";"Nærumvænge Torv 18, 2850 Nærum";"+45 41 66 66 72";"Google Places";"Places lists this as ""Savoryhouse restaurant"" – confirm same venue"
"72";"Restaurant Chop-sticks";"sushi, asian";"https://wolt.com/en/dnk/birkeroed-farum/restaurant/restaurant-chop-sticks-v";"Bymidten 114, 3500 Værløse";"+45 50 98 88 88";"Google Places";""
"73";"Unkaku Sushi Allerød";"sushi";"https://wolt.com/en/dnk/alleroed/restaurant/unkaku-sushi-allerd";"Mølcks Passage, 3450 Lillerød";"+45 53 83 33 50";"Google Places";""
"74";"Miyawaki";"sushi";"https://wolt.com/en/dnk/hoersholm-rungsted/restaurant/miyawaki";"Vedbæk Stationsvej 14, 2950 Vedbæk";"+45 52 52 66 56";"Google Places";""
"75";"Yoshimi Sushi Værløse";"sushi";"https://wolt.com/en/dnk/birkeroed-farum/restaurant/yoshimi-sushi-vrlse";"Bymidten 41, 3500 Værløse";"+45 53 53 88 99";"Google Places";""
"76";"Sticks'n'Sushi Lyngby";"sushi";"https://wolt.com/en/dnk/lyngby-gentofte/restaurant/sticks-n-sushi-lyngby";"Lyngby Hovedgade 43, 2800 Kongens Lyngby";"+45 45 87 00 34";"Google Places";""
"77";"Unkaku Sushi";"sushi";"https://wolt.com/en/dnk/lyngby-gentofte/restaurant/unkaku-sushi";"Bagsværd Hovedgade 77-79, 2880 Bagsværd";"+45 53 38 33 44";"Google Places";""
"78";"Bro's kebab";"kebab";"https://wolt.com/en/dnk/lyngby-gentofte/restaurant/slusestreetfood";"Not found – manual check needed";"Not publicly listed";"Wolt listing only – not verified";"no reliable match (query returned Turkish Kitchen, DTU campus stall)"
"79";"Kebab Time Farum";"kebab";"https://wolt.com/en/dnk/birkeroed-farum/restaurant/kebab-timme";"Rugmarken 6, 3520 Farum";"+45 22 65 35 20";"Google Places";""
"80";"Kebab Klubben Lyngby";"kebab, american";"https://wolt.com/en/dnk/lyngby-gentofte/restaurant/kebab-klubben-lyngby";"Lyngby Hovedgade 72, 2800 Kongens Lyngby";"+45 45 88 86 88";"Google Places";""
"81";"Byens Gadekok";"kebab";"https://wolt.com/en/dnk/hoersholm-rungsted/restaurant/byens-gadekok-horsholm";"Christianshusvej, 2970 Kokkedal";"+45 51 91 81 65";"Google Places";""
"82";"Kebab House Farum";"kebab";"https://wolt.com/en/dnk/birkeroed-farum/restaurant/kebab-house-farum-nygaard";"Nygårdterrasserne 212A, 3520 Farum";"+45 44 95 05 50";"Google Places";""
"83";"Café Rosenhuset";"kebab, cafe";"https://wolt.com/en/dnk/hoersholm-rungsted/restaurant/caf-rosenhuset";"Vedbæk Strandvej 378, 2950 Vedbæk";"+45 31 90 59 59";"Google Places";""
"84";"La Tre Birkerød";"asian, thai";"https://wolt.com/en/dnk/birkeroed-farum/restaurant/la-tre-birkerd";"Hovedgaden 41A, 3460 Birkerød";"+45 53 96 58 88";"Google Places";""
"85";"Thai Taanic";"asian, thai";"https://wolt.com/en/dnk/hoersholm-rungsted/restaurant/thai-taanic";"Vedbæk Stationsvej 14, 2950 Vedbæk";"+45 91 72 69 98";"Google Places";""
"86";"Wokshop Rungsted Havn";"asian, thai, healthy, vegetarian";"https://wolt.com/en/dnk/hoersholm-rungsted/restaurant/wokshop-rungsted-havn";"Rungsted Havn 34, 2960 Rungsted Kyst";"+45 45 79 61 21";"Google Places";""
"87";"Restaurant HaiLong Værløse";"asian, chinese";"https://wolt.com/en/dnk/birkeroed-farum/restaurant/restaurant-hailong-vrlse";"Bymidten 58, 3500 Værløse";"+45 44 48 88 86";"Google Places";""
"88";"Poké & Sons Lyngby";"asian";"https://wolt.com/en/dnk/lyngby-gentofte/restaurant/pok-sons-lyngby";"Lyngby Storcenter 1, 2800 Kongens Lyngby";"+45 53 77 31 74";"Google Places";""
"89";"Maithai";"asian, thai";"https://wolt.com/en/dnk/lyngby-gentofte/restaurant/mai-thai-lyngby";"Kulsviervej 69, 2800 Kongens Lyngby";"+45 63 13 01 01";"Google Places";"Places lists this as ""Restaurant Mai Thai"" – confirm same venue"
"90";"La Tre Nærum";"asian";"https://wolt.com/en/dnk/lyngby-gentofte/restaurant/la-tre-nrum";"Nærum Hovedgade 50, 2850 Nærum";"+45 53 50 60 90";"Google Places";""
"91";"Wokshop Lyngby Kinopalæet";"asian, thai, healthy, vegetarian";"https://wolt.com/en/dnk/lyngby-gentofte/restaurant/wokshop-lyngby";"Klampenborgvej 215C, 2800 Kongens Lyngby";"+45 32 51 61 21";"Google Places";""
"92";"Wokshop Lyngby Hovedgade";"asian, thai, healthy, vegetarian";"https://wolt.com/en/dnk/lyngby-gentofte/restaurant/wokshop-lyngby-hovedgade";"Lyngby Hovedgade 76A, 2800 Kongens Lyngby";"+45 45 93 61 21";"Google Places";""
"93";"Hanzō Lyngby";"asian, thai, chinese";"https://wolt.com/en/dnk/lyngby-gentofte/restaurant/hanz-lyngby";"Toftebæksvej 1B, 2800 Kongens Lyngby";"+45 38 42 42 52";"Google Places";""
"94";"Golden & Wok";"asian, chinese";"https://wolt.com/en/dnk/lyngby-gentofte/restaurant/golden-wok-bagsvaerd";"Bagsværd Hovedgade 62A, 2880 Bagsværd";"+45 61 88 78 88";"Google Places";""
"95";"India Imperial Birkerød";"indian";"https://wolt.com/en/dnk/birkeroed-farum/restaurant/india-imperial-birkerdd";"Vasevej 105A, 3460 Birkerød";"+45 23 20 21 95";"Google Places";""
"96";"Koriander";"indian";"https://wolt.com/en/dnk/birkeroed-farum/restaurant/koriander-farum";"Farum Hovedgade 11A, 3520 Farum";"+45 32 16 80 80";"Google Places";""
"97";"Bsj Indisk Birkerød";"indian";"https://wolt.com/en/dnk/birkeroed-farum/restaurant/bsj-indisk-birkerod";"Hovedgaden 31C, 3460 Birkerød";"+45 50 27 24 57";"Google Places";""
"98";"Om Indisk - Værløse";"indian";"https://wolt.com/en/dnk/birkeroed-farum/restaurant/om-indisk-vrlse";"Bymidten 50G, 3500 Værløse";"+45 42 37 46 04";"Google Places";""
"99";"Saffron Indian Restaurant";"indian";"https://wolt.com/en/dnk/lyngby-gentofte/restaurant/saffron-indian-restaurant-naerumm";"Nærum Hovedgade 87, 2850 Nærum";"+45 53 68 78 88";"Google Places";""
"100";"Roots & Flavors";"indian";"https://wolt.com/en/dnk/lyngby-gentofte/restaurant/roots-flavors";"Lundtoftevej 197, 2800 Lundtofte";"+45 53 75 77 15";"Google Places";""
"101";"Golden Indian Restaurant & Take Away";"indian";"https://wolt.com/en/dnk/lyngby-gentofte/restaurant/golden-indian-restaurant-take-away";"Lystoftevej 52, 2800 Kongens Lyngby";"+45 45 33 12 68";"Google Places";""
"102";"Bindia Lyngby";"indian";"https://wolt.com/en/dnk/lyngby-gentofte/restaurant/bindia";"Lyngby Hovedgade 72E, 2800 Kongens Lyngby";"+45 78 77 33 99";"Google Places";""
"103";"Indian Aroma";"indian";"https://wolt.com/en/dnk/copenhagen/restaurant/indian-aromaa";"Arne Jacobsens Allé 12, 2300 København";"+45 60 70 60 17";"Google Places";""
"104";"Mr. Bittu";"indian";"https://wolt.com/en/dnk/lyngby-gentofte/restaurant/mr-bittu";"Bagsværd Hovedgade 116M, 2880 Bagsværd";"+45 20 27 57 58";"Google Places";"Places lists this as ""Mrbittu"" – confirm same venue"
"105";"North Indian Restaurant And Takeaway";"indian";"https://wolt.com/en/dnk/hoersholm-rungsted/restaurant/north-indian";"Rungstedvej 7, 2970 Hørsholm";"+45 35 11 70 00";"Google Places";""
"106";"Indian Daawat";"indian";"https://wolt.com/en/dnk/lyngby-gentofte/restaurant/india-daawat";"Bagsværd Hovedgade 116M, 2880 Bagsværd";"+45 20 27 57 58";"Google Places";"shares address and phone with Mr. Bittu (nr 104) - likely same kitchen"
"107";"India Royale Lyngby";"indian";"https://wolt.com/en/dnk/lyngby-gentofte/restaurant/india-royale-lyngby";"Lyngby Hovedgade 51, 2800 Kongens Lyngby";"+45 45 41 40 42";"Google Places";""
"108";"Green Mango Lyngby";"thai";"https://wolt.com/en/dnk/lyngby-gentofte/restaurant/green-mango-lyng";"Jernbanevej 10, 2800 Kongens Lyngby";"+45 28 11 40 00";"Google Places";""
"109";"Thai Me Food";"thai";"https://wolt.com/en/dnk/lyngby-gentofte/restaurant/thai-me-food";"Geels Pl. 28, 2830 Virum";"+45 42 45 14 74";"Google Places";""
"110";"New Element Cafeteria";"thai, chinese";"https://wolt.com/en/dnk/ballerup-herlev/restaurant/new-element-cafeteria";"Bagsværd Hovedgade 45, 2880 Bagsværd";"+45 44 44 40 66";"Google Places";""
"111";"Joe & The Juice Farum";"sandwich, cafe";"https://wolt.com/en/dnk/birkeroed-farum/restaurant/joe-the-juice-farum";"Farum Bytorv 5, 3520 Farum";"+45 89 87 97 08";"Google Places";""
"112";"Café Kaiser Farum";"sandwich, cafe";"https://wolt.com/en/dnk/birkeroed-farum/restaurant/cafe-kaiser-farum";"Farum Bytorv 22, 3520 Farum";"+45 48 48 14 14";"Google Places";""
"113";"Espresso House Hørsholm";"sandwich, breakfast, cafe";"https://wolt.com/en/dnk/hoersholm-rungsted/restaurant/espresso-house-hrsholm";"Hørsholm Midtpunkt 47, 2970 Hørsholm";"+45 51 63 69 70";"Google Places";""
"114";"Pasta 4 U";"sandwich";"https://wolt.com/en/dnk/lyngby-gentofte/restaurant/pasta-4-u";"Lyngbygårdsvej 147, 2800 Kongens Lyngby";"+45 45 80 00 01";"Google Places";"Places lists this as ""PASTA4U"" – confirm same venue"
"115";"Smag & Smil Nærum";"sandwich";"https://wolt.com/en/dnk/lyngby-gentofte/restaurant/smag-smil-nrum";"Nærum Hovedgade 58, 2850 Nærum";"+45 71 99 45 45";"Google Places";""
"116";"Wedo Lyngby";"sandwich, salad, healthy, vegan, vegetarian";"https://wolt.com/en/dnk/lyngby-gentofte/restaurant/wedo-lyngby";"Lyngby Hovedgade 78, 2800 Kongens Lyngby";"+45 66 20 28 00";"Google Places";""
"117";"GEELS";"sandwich, cafe";"https://wolt.com/en/dnk/lyngby-gentofte/restaurant/geels-caf";"Not found – manual check needed";"Not publicly listed";"Wolt listing only – not verified";"no reliable match (query returned Social Grill Virum)"
"118";"House of Bagels Bagsværd";"sandwich";"https://wolt.com/en/dnk/copenhagen/restaurant/house-of-bagelsss";"Bindeledet 9B, 2880 Bagsværd";"+45 91 45 46 36";"Google Places";""
"119";"Pandekagehuset";"sandwich, dessert";"https://wolt.com/en/dnk/lyngby-gentofte/restaurant/pandekagehuset-lyngby";"Lyngby Storcenter 1, 2800 Kongens Lyngby";"+45 27 29 55 53";"Google Places";""
"120";"Café Victoria Hørsholm";"sandwich, cafe";"https://wolt.com/en/dnk/hoersholm-rungsted/restaurant/caf-victoria-hrsholm";"Hørsholm Midtpunkt 90, 2970 Hørsholm";"+45 45 86 75 00";"Google Places";""
"121";"Franklin Roast";"sandwich, dessert";"https://wolt.com/en/dnk/hoersholm-rungsted/restaurant/franklin-roast";"Usserød Kongevej 49D, 2970 Hørsholm";"+45 93 88 84 16";"Google Places";""
"122";"Petit By Ikos Catering";"sandwich, salad, cafe";"https://wolt.com/en/dnk/copenhagen/restaurant/petit-by-ikos-catering";"H. C. Ørsteds Vej 50B, 1879 Frederiksberg";"+45 81 94 30 65";"Google Places";""
"123";"Smagsløget Catering";"sandwich, vegan, vegetarian";"https://wolt.com/en/dnk/copenhagen/restaurant/smagslget-catering";"Vesterbrogade 19, 1620 København";"+45 31 33 24 14";"Google Places";""
"124";"Joe & The Juice Holte";"sandwich";"https://wolt.com/en/dnk/lyngby-gentofte/restaurant/joe-the-juice-holte";"Holte Midtpunkt 23, 2840 Holte";"+45 89 87 97 08";"Google Places";""
"125";"Joe & The Juice Hørsholm Midtpunkt";"sandwich";"https://wolt.com/en/dnk/hoersholm-rungsted/restaurant/joe-the-juice-hrsholm";"Hørsholm Midtpunkt 125, 2970 Hørsholm";"+45 89 87 97 08";"Google Places";""
"126";"Joe & The Juice Lyngby";"sandwich";"https://wolt.com/en/dnk/lyngby-gentofte/restaurant/joe-the-juice-lyngby";"Lyngby Storcenter, 2800 Kongens Lyngby";"+45 89 87 97 08";"Google Places";""
"127";"Cafe Kaiser Hørsholm";"sandwich, cafe";"https://wolt.com/en/dnk/hoersholm-rungsted/restaurant/cafe-kaiser-hrsholm";"Hørsholm Midtpunkt 138, 2970 Hørsholm";"+45 48 48 14 14";"Google Places";""
"128";"Joe & The Juice Rungsted Havn";"sandwich";"https://wolt.com/en/dnk/hoersholm-rungsted/restaurant/joe-the-juice-rungsted-havn";"Rungsted Havn 16, 2960 Rungsted Kyst";"+45 89 87 97 08";"Google Places";""
